,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
35,その他の石油製品・石炭製品製造業,20,496257,10195,10065,130,***,27,2.05,113,***,***,7,1198,6,159
36,プラスチック製品製造業,341,4964884,98112,94849,3263,1338,1043,1.98,790,413,8,68,8151,225,1943
37,ゴム製品製造業,86,2866139,165588,160527,5061,564,1095,5.78,27,***,***,15,18846,37,949
38,タイヤ・チューブ製造業,8,1929295,138375,134973,3402,***,45,7.17,11,***,***,1,,3,594
39,その他のゴム製品製造業,78,936844,27213,25554,1659,564,1050,2.9,16,***,***,14,,34,355
40,なめし革・同製品・毛皮製造業,7,30965,132,132,***,***,***,0.43,***,***,***,***,***,2,
41,窯業・土石製品製造業,217,3378551,68917,67792,1125,31,69,2.04,3096,10,2442,56,4601,113,1167
42,ガラス・同製品製造業,40,673723,25832,25453,379,14,***,3.83,2456,***,2442,9,1409,26,323
43,セメント・同製品製造業,49,915551,10061,9864,197,***,***,1.1,227,***,***,9,1278,28,283
44,その他の窯業・土石製品製造業,128,1789277,33024,32475,549,17,69,1.85,413,10,***,38,1914,59,561
45,鉄鋼業,146,11268343,176161,171186,4975,1805,157,1.56,5827,113,***,30,23333,162,3234
46,銑鉄・粗鋼・鋼材製造業,87,10596113,171932,167131,4801,1776,80,1.62,5822,113,***,25,23280,87,2821
47,鋳鍛造品・その他の鉄鋼製品製造業,59,672230,4229,4055,174,29,77,0.63,5,***,***,5,53,75,413
48,非鉄金属製造業,170,7965767,134148,127685,6463,2186,196,1.68,4599,1083,***,35,14100,130,2602
49,非鉄金属製錬・精製業,36,2994567,36979,35771,1208,425,96,1.23,174,***,***,11,5087,30,881
50,非鉄金属加工品製造業,134,4971200,97169,91914,5255,1761,100,1.95,4425,1083,***,24,9013,100,1721
51,金属製品製造業,451,6619739,86311,82847,3464,2139,442,1.3,507,78,***,61,2877,307,2400
52,建設用・建築用金属製品製造業,137,3281726,33853,32816,1037,344,9,1.03,158,69,***,21,1516,84,858
53,その他の金属製品製造業,314,3338013,52458,50031,2427,1795,433,1.57,349,9,***,40,1361,223,1542
54,はん用機械器具製造業,281,5473746,159139,148495,10644,2638,2904,2.91,5419,19,***,55,9071,204,2748
55,ボイラ・原動機製造業,16,1363453,50679,45026,5653,1871,1624,3.72,5167,4,***,5,2585,15,315
56,ポンプ・圧縮機器製造業,77,1112789,28966,28151,815,231,346,2.6,76,***,***,14,1226,43,363
57,一般産業用機械・装置製造業,99,1615781,36729,35599,1130,59,741,2.27,115,15,***,23,1994,79,1192
58,その他のはん用機械・同部品製造業,89,1381723,42765,39719,3046,477,193,3.1,61,***,***,13,3266,67,878
59,生産用機械器具製造業,565,11907472,612563,579825,32738,16724,8059,5.14,15104,659,13080,99,28480,339,6774
60,金属加工機械製造業,147,2123436,67962,64203,3759,510,334,3.2,10,***,***,23,1505,77,914
61,特殊産業用機械製造業,418,9784036,544601,515622,28979,16214,7725,5.57,15094,659,13080,76,26975,262,5860
62,業務用機械器具製造業,271,10054725,994637,905499,89138,12329,11778,9.89,44131,5141,2386,77,50417,144,3209
63,事務用・サービス用機械器具製造業,63,4737293,546874,515816,31058,5439,3418,11.54,2301,1012,901,20,29890,33,969
64,計量器・測定器等（注）,100,1259416,78086,70584,7502,150,218,6.2,4254,671,1485,21,2282,47,887
65,医療用機械器具・医療用品製造業,73,2446215,256118,214017,42101,6714,8142,10.47,4332,3458,***,30,9273,45,1237
66,光学機械器具・レンズ製造業,31,627097,81804,73327,8477,26,***,13.04,198,***,***,5,,18,
67,武器製造業,4,984704,31755,31755,***,***,***,3.22,33046,***,***,1,,1,
68,電子部品・デバイス・電子回路製造業,288,12051424,717092,693962,23130,12101,1815,5.95,11878,7763,***,82,44068,187,3732
69,電気機械器具製造業,422,17348453,1037758,968213,69545,6968,13405,5.98,22579,10944,***,82,23960,262,9616
70,産業用電気機械器具製造業,209,7777585,401762,379824,21938,1846,5078,5.17,8916,2773,***,37,1969,154,7395
71,民生用電気機械器具製造業,49,6121782,373645,366494,7151,3479,5,6.1,2978,***,***,8,9709,30,493
72,電子応用装置製造業,31,703651,78251,64043,14208,778,8312,11.12,369,***,***,8,2498,14,281
73,その他の電気機械器具製造業,133,2745435,184100,157852,26248,865,10,6.71,10316,8171,***,29,9784,64,1447
74,情報通信機械器具製造業,133,6345827,399107,358328,40779,3974,9479,6.29,39636,34012,13,29,17101,88,8695
75,通信機械器具・同関連機械器具製造業,100,2811088,198447,176316,22131,3754,1323,7.06,37642,33970,13,19,2738,65,1301
76,電子計算機・同附属装置製造業,33,3534739,200660,182012,18648,220,8156,5.68,1994,42,***,10,14363,23,7394
77,輸送用機械器具製造業,529,65311822,4807918,3359472,1448446,332045,205223,7.36,78538,3677,3121,128,118529,434,16281
78,自動車・同附属品製造業,404,59464449,4609141,3174584,1434557,331061,204867,7.75,71422,3514,3121,109,110197,336,14040
79,その他の輸送用機械器具製造業,125,5847373,198777,184888,13889,984,356,3.4,7116,163,***,19,8332,98,2241
80,その他の製造業,163,3256920,171629,103579,68050,12181,16167,5.27,589,52,6,28,1516,86,
81,電気・ガス業,36,22975505,131926,51783,80143,8418,***,0.57,8890,***,***,15,3578,81,12954
82,電気業,23,19037277,116239,38008,78231,8418,***,0.61,8879,***,***,9,2100,33,10140
83,ガス業,13,3938228,15687,13775,1912,***,***,0.4,11,***,***,6,1478,48,2814
84,情報通信業,609,17976591,719844,554775,165069,8186,107952,4,47136,25881,578,35,11641,1121,35711
85,ソフトウェア業,437,12330131,460076,407227,52849,7521,18048,3.73,40475,25484,578,25,9930,707,24931
86,情報処理・提供サービス業,98,3296714,25951,24319,1632,210,3,0.79,6541,397,***,7,288,277,8149
87,インターネット附随サービス業,51,1873022,232375,121911,110464,417,89901,12.41,106,***,***,2,,68,1327
88,映画・ビデオ制作業（※）,10,125219,434,424,10,10,***,0.35,***,***,***,***,***,20,340
89,新聞業,3,139012,378,365,13,***,***,0.27,***,***,***,1,,20,694
90,出版業,10,212493,630,529,101,28,***,0.3,14,***,***,***,***,29,270
91,卸売業,995,74233490,1396154,1052732,343422,17101,98696,1.88,67864,1999,35267,148,36123,1556,25472
92,繊維品卸売業,19,656430,1954,1291,663,20,3,0.3,49,***,***,***,***,11,335
93,衣服・身の回り品卸売業,48,775408,3876,3233,643,567,***,0.5,***,***,***,4,29,45,437
94,農畜産物・水産物卸売業,35,2915723,3925,3838,87,***,***,0.13,3,***,***,3,584,84,1101
95,食料・飲料卸売業,94,8620710,33696,28385,5311,2215,85,0.39,***,***,***,13,2050,136,3211
96,建築材料卸売業,63,1736639,28176,27909,267,133,***,1.62,21,18,***,5,2004,100,529
97,化学製品卸売業,86,2903618,27207,22344,4863,2538,425,0.94,2043,1206,***,23,888,107,3126
98,石油・鉱物卸売業,18,14068718,13802,12092,1710,***,***,0.1,2614,***,***,4,70,55,1031
99,鉄鋼製品卸売業,28,4166897,653,448,205,43,***,0.02,***,***,***,2,,60,1622
100,非鉄金属卸売業,18,4938991,10049,9667,382,301,***,0.2,134,113,***,5,1419,24,708
101,再生資源卸売業,4,47203,148,118,30,19,***,0.31,9,***,***,2,,18,83
102,産業機械器具卸売業,95,3193957,189014,184220,4794,1094,49,5.92,741,***,***,16,12548,146,2026
103,自動車卸売業,25,1856103,73389,67140,6249,1300,1390,3.95,***,***,***,4,1015,118,1664
104,電気機械器具卸売業,133,7694667,353406,292414,60992,628,29088,4.59,53210,657,28054,27,5757,222,3404
105,その他の機械器具卸売業,71,1511314,46534,45047,1487,13,832,3.08,772,***,691,12,2333,117,1183
106,家具・建具・じゅう器等卸売業,37,614511,1816,1066,750,399,***,0.3,150,***,***,***,***,37,279
107,医薬品・化粧品等卸売業,66,7107237,537445,314067,223378,7501,66352,7.56,1373,***,***,13,6187,101,2924
108,紙、紙製品卸売業,8,408666,3198,3195,3,***,***,0.78,***,***,***,***,***,24,140
109,その他の卸売業,147,11016698,67866,36258,31608,330,472,0.62,6745,5,6522,15,1178,151,1669
110,小売業,144,3287923,21744,18017,3727,1514,***,0.66,67,2,***,11,2564,990,27784
111,織物・衣服・身の回り品小売業,15,294404,1430,1358,72,20,***,0.49,***,***,***,2,,71,1477
112,飲食料品小売業,53,934122,1365,1305,60,38,***,0.15,2,2,***,3,1025,210,5893
113,自動車・自転車小売業,5,103277,320,260,60,***,***,0.31,15,***,***,1,,307,3922
114,機械器具小売業,8,175480,973,837,136,116,***,0.55,***,***,***,1,,60,10504
115,家具・建具・じゅう器小売業,4,105830,2345,2344,1,1,***,2.22,***,***,***,***,***,10,108
116,医薬品・化粧品小売業,18,674204,3788,1419,2369,1298,***,0.56,20,***,***,***,***,76,1602
117,燃料小売業,3,21215,51,51,***,***,***,0.24,***,***,***,1,,108,646
118,その他の小売業,23,605486,971,866,105,18,***,0.16,30,***,***,1,,102,1767
119,無店舗小売業,15,373905,10501,9577,924,23,***,2.81,***,***,***,2,,46,1865
120,クレジットカード業、割賦金融業,3,646946,587,550,37,***,***,0.09,***,***,***,***,***,31,944
121,物品賃貸業,14,139106,327,306,21,***,***,0.24,***,***,***,***,***,94,1516
122,産業用機械器具賃貸業（レンタルを含む）,13,,,,21,***,***,,***,***,***,***,***,50,594
123,事務用機械器具賃貸業（レンタルを含む）,***,***,***,***,***,***,***,***,***,***,***,***,***,13,124
124,自動車賃貸業（レンタルを除く）,***,***,***,***,***,***,***,***,***,***,***,***,***,17,366
125,その他の物品賃貸業（レンタルを含む）,1,,,,***,***,***,,***,***,***,***,***,14,432
126,学術研究、専門・技術サービス業,143,5003368,769149,755201,13948,1349,8,15.37,732703,25837,27480,27,29090,238,5701
127,学術・開発研究機関,35,949722,732868,721014,11854,826,8,77.17,692860,14377,11024,13,26306,42,938
128,デザイン業,1,,,,***,***,***,,***,***,***,***,***,1,
129,エンジニアリング業,58,2800893,31716,29861,1855,452,***,1.13,16529,4513,90,10,2705,86,2817
130,広告業,10,978912,188,67,121,43,***,0.02,***,***,***,1,,53,1062
131,機械設計業,11,98984,3228,3199,29,22,***,3.26,23014,6647,16366,1,,22,485
132,商品・非破壊検査業,12,,,,2,***,***,,***,***,***,***,***,10,
133,計量証明業,15,97546,406,319,87,6,***,0.42,300,300,***,2,,24,201
134,写真業,1,,,,***,***,***,,***,***,***,***,***,***,***
135,飲食サービス業,67,822280,988,980,8,1,***,0.12,***,***,***,***,***,100,1366
136,一般飲食店,63,757489,960,952,8,1,***,0.13,***,***,***,***,***,88,1113
137,持ち帰り・配達飲食サービス業,4,64791,28,28,***,***,***,0.04,***,***,***,***,***,12,253
138,生活関連サービス業、娯楽業,15,146976,223,220,3,***,***,0.15,***,***,***,***,***,111,1578
139,洗濯業,4,6006,11,11,***,***,***,0.18,***,***,***,***,***,28,359
140,その他の洗濯・理容・美容業・浴場業,4,35044,29,29,***,***,***,0.08,***,***,***,***,***,6,40
141,冠婚葬祭業（冠婚葬祭互助会を含む）,3,46397,5,,,***,***,0.01,***,***,***,***,***,42,248
142,"写真プリント,現像・焼付業",1,,,,***,***,***,,***,***,***,***,***,2,
143,その他の生活関連サービス業,1,,,,,***,***,,***,***,***,***,***,4,
144,映画館,***,***,***,***,***,***,***,***,***,***,***,***,***,4,53
145,ゴルフ場,***,***,***,***,***,***,***,***,***,***,***,***,***,5,22
146,スポーツ施設提供業（注）,2,,,,***,***,***,,***,***,***,***,***,11,658
147,公園、遊園地・テーマパーク,***,***,***,***,***,***,***,***,***,***,***,***,***,9,183
148,個人教授所,1,,,,***,***,***,,***,***,***,***,***,1,
149,サービス業（その他のサービス業を除く）,126,,,,5873,433,59,,14450,653,***,11,223,457,
150,廃棄物処理業,29,272914,768,504,264,86,***,0.28,90,***,***,3,6,55,343
151,機械等修理業,47,1130876,14557,12376,2181,181,***,1.29,422,422,***,5,192,112,1696
152,職業紹介業,***,***,***,***,***,***,***,***,***,***,***,***,***,11,640
153,労働者派遣業,10,203408,3298,343,2955,80,59,1.62,13938,231,***,1,,95,2076
154,ディスプレイ業,3,26914,38,38,***,***,***,0.14,***,***,***,***,***,9,220
155,テレマーケティング業,***,***,***,***,***,***,***,***,***,***,***,***,***,14,262
156,その他の事業サービス業,37,302810,1970,1497,473,86,***,0.65,***,***,***,2,,161,2366
157,サービス業（その他のサービス業）,48,2281499,147498,144980,2518,612,***,6.46,8599,***,***,9,10813,149,4617
158,その他の産業,156,9164124,27279,21591,5688,256,***,0.3,213,6,***,21,3534,309,7458
